what;when;with;where;why
Certificate programa in Data Science (150 hrs.);2020;2020;Santiago, Chile;Faculty of Mathematics. Pontificia Universidad Católica, Chile.
Longitudinal Data Analysis (33 hrs.);2019 - 2020;Institute of Sociology UC;Santiago, Chile;Course on longitudinal survey analysis. Institute of Sociology. UC, Chile.
Efficient Data Management with STATA (33 hrs.);2019;;Santiago, Chile;Course of data managment with STATA. Institute of Sociology. UC, Chile.
School of Experimental Methods (90 hrs.);2019;Centre for Experimental Social Sciences (CESS). ;Santiago, Chile;Course on experiments in social sciences. Centre for Experimental Social Sciences (CESS), Chile.
Business Administration Technician;2008 - 2009;DUOC UC;Santiago, Chile;Higher Level Technical Career in Business Administration. DUOC UC.
