what;when;with;where;why
Multidisciplinary Initiative for Bacterial Resistance Research;2019;;;Microb-R, Chile. Acceso: https://microb-r.org/
Chilean Society of Statistics;2022;;;Soche, Chile. Acceso: https://soche.cl/ 
