degree;uni;loc;start_date;end_date;details
Master of Science in Statistics.;Pontificia Universidad Católica de Chile;Santiago, Chile;2022;2023;Department of Statistics. Pontificia Universidad Católica, Chile.
Master of Science in Sociology.;;;2018;2021;Institute of Sociology. Pontificia Universidad Católica, Chile.
Graduate Diploma in Data Science.;;;2020;2020;School of Mathematics. Pontificia Universidad Católica, Chile.
Bachelor of Social Science.;;;2013;2017;Major in Sociology & Minor in Public Policy. Pontificia Universidad Católica, Chile.
