role;company;where;start_date;end_date;details
Research Consulting | ONG Enseña-Chile;;;;2021;Technical analysis of questionnaires for the Schools that Learn program
Research Consulting | Fundación tiempos nuevos;;;;2021;Evaluation of internal programs of the Mirador Interactive Museum
Profesional Staff | Vínculo y Desarrollo Profesional College UC;;;;2019;Analysis, management and reporting of alumni data for the College UC program.
Research Consulting |  Consejo Nacional de Innovación para el Desarrollo (CNID);;;;2018;Analysis of the Anticipating Horizons for Chile Project: Exploring Emerging Areas in Science and Humanities
