role;start_date;end_date;details;where;why
1st Data Science in Health Conference | University of Chile;2023;2024;Organizing Team.;;
College Program UC | Pontifical Catholic University of Chile;2020;2022;Founder, Alumni College UC.;;
College Program UC | Pontifical Catholic University of Chile;2017/S1;2017/S2;Student Representation: Academic Adviser.;;
IdeaPaís Foundation;2016/S2;2017/S1;"Research Internship: ""Ninis, Neither Studying nor Working"".";;
Teletón Foundation;2013/S1;2013/S2;Care Volunteer.;;
