role;start_date;end_date;details;where;why
School of Government | Pontifical Catholic University of Chile;2020;2023;"Data Analysis I & II; Impact Evaluation Workshop.";;
School of Engineering | Pontifical Catholic University of Chile;2021;2022;"Approaching Public Policies through Data; Data for Impact Evaluation in Public Policies.";;
School of Sociology | Diego Portales University;2021;2021;Big Data for Social Sciences.;;
Institute of Sociology | Pontifical Catholic University of Chile;2019;2021;"Evaluation of Social Projects; Social Research Methodology; Data Analysis I, II & III; Design and Analysis of Social Research.";;
