role;start_date;end_date;details;where;why
School of Government | Pontificia Universidad Católica ;2023/S1;2023/S2;Assistant teacher: Public Policy Impact Assessment Workshop.;;
Professional Education | School of Engineering | Pontificia Universidad Católica ;2022;Presente;Assistant teacher: R Workshop, Data-driven approach to public policies.;;
