role;start_date;end_date;details;where;why
Escuela de Gobierno | Pontificia Universidad Católica ;2023/S1;2023/S2;Profesor: Taller de evaluación de impacto;;
Escuela de Ingeniería | Pontificia Universidad Católica ;2022;Presente;Profesor: Diplomado en Ciencia de Datos para Políticas Públicas;;
