role;start_date;end_date;details;where;why
Intituto de Sociología | Pontificia Universidad Católica de Chile;2019;2021;"Evaluación de Proyectos Sociales; Metodología de la Investigación Social; Análisis de datos I; II & III;  Diseño y Análisis de la Investigación Social";;
Escuela de Gobierno | Pontificia Universidad Católica de Chile;2020;2023;"Análisis de datos I; II y Taller de evaluación de impacto";;
Escuela de Ingeniería | Pontificia Universidad Católica de Chile;2021;2022;"Aproximación a las políticas Públicas desde los datos; Datos para la evaluación de impacto en políticas públicas y ";;
Escuela de Sociología | Universidad Diego Portales;2021;2021;Big-Data para las ciencias sociales;;
