why;when;with
Beca para estudios de Magíster (USD 3.000);2019-2020;Centro de Estudios y la Cohesión Social (COES)
Beca para estudios de Magíster (USD 3.000);2019;Fundación Volcán Calbuco
Beca para estudios de Magíster (USD 4.000);2021;Beca San Andrés, College UC
Beca de gastos, School of Advanced Science on Epidemic Preparedness (USD 2.000);2023;School of Public Health of the University of São Paulo, Brasil
"Premio de innovación Docente: ""Formación en lenguajes de programación para la estadística social (FPES)"" (USD 600)";2023;Vicerrectoría Académica, Universidad Diego Portales
Beca estudios doctorales en USA 2025 (USD 200.000);2023;BIO Fulbright Chile
