role;company;where;start_date;end_date;details
Consultoría Técnica | Enseña-Chile;;;;2021;Análisis técnico de cuestionarios programa Colegios que Aprenden
Consultoría Técnica | Fundación tiempos nuevos;;;;2021;Apoyo en la evaluación de programas para el Museo Interactivo Mirador 
Staff Profesional | Vínculo y Desarrollo Profesional College UC;;;;2019;Análisis, gestión y reporte de datos sobre egresados para el programa College UC
Consultoría Cualitativa |  Consejo Nacional de Innovación para el Desarrollo (CNID);;;;2018;Proyecto Anticipando Horizontes para Chile: Explorando áreas emergentes en Ciencias y Humanidades
