degree;uni;loc;start_date;end_date;details
Magíster en Estadística©;Pontificia Universidad Católica de Chile;Santiago, Chile;2022;2023;Departamento de Estadística, Pontificia Universidad Católica, Chile
Magíster en Sociología©;;;2018;2021;Instituto de sociología, Pontificia Universidad Católica, Chile
Licenciado en Ciencias Sociales;;;2013;2017;College en Ciencias Sociales, Pontificia Universidad Católica, Chile
