role;start_date;end_date;details;where;why
Fundación Teletón;2013/S1;2013/S2;Voluntario de atención;;
Fundación IdeaPaís;2016/S2;2017/S1;"Pasantía de Investigación: ""Ninis, no estudian ni trabajan""";;
Programa College UC | Pontificia Universidad Católica de Chile;2017/S1;2017/S2;Representación Estudiantil: consejero académico;;
Programa College UC | Pontificia Universidad Católica de Chile;2020;2022;Fundador, Alumni College UC;;
1eras jornadas de ciencias de datos en salud, Universidad de Chile;2023;2024;Equipo organizador;;
