what;when;with;where;why;type;loc;invited
Universidad de San Marcos;2019;Congreso Latinoamericano de Sociología;Lima, Perú;Discriminación étnica en la participación de cargos políticos para pueblos originarios: Resultados de un experimento de lista;Ponencia;Internacional ;no
Universidad de San Marcos;2019;Congreso Latinoamericano de Sociología;Lima, Perú;Educación tóxica: un acercamiento multinivel a una problemática ecológica. Exposición a SO2 y rendimiento académico;Ponencia;Internacional ;no
Universidad de San Marcos;2019;Congreso Latinoamericano de Sociología;Lima, Perú;Educación, valores y percepciones sobre el mérito: una mirada al caso chileno;Panel;Internacional ;no
Universidad de O`Higgins;2019;1º Encuentro Nacional de Métodos y Técnicas de investigación Social ;Rancagua, Chile;Deseabilidad social y sesgo de sensibilidad en discriminación étnica;Ponencia;Nacional;no
Universidad Arturo Prat;2018;10º Congreso de Sociología;Iquique, Chile;Desarrollo, educación y cuestiones postmateriales: niveles de aceptación a la homosexualidad en 39 países;Ponencia;Nacional;no
